电影名,导演,评分,评价人数,评价
飞屋环游记,"
                            1994 / 中国大陆 中国香港 / 剧情 历史 家庭
                        ",9.1,1237109人评价,最后那些最无聊的事情，才是最值得怀念的。 
我不是药神,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint",9.0,1959951人评价,对我们国家而言，这样的电影多一部是一部。
摔跤吧！爸爸,"
                            2001 / 美国 英国 / 奇幻 冒险
                        ",9.0,1469870人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
何以为家,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",9.1,968223人评价,凝视卑弱生命，用电影改变命运。
十二怒汉,"
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",9.4,447198人评价,1957年的理想主义。 
哈尔的移动城堡,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...",9.1,941217人评价,带着心爱的人在天空飞翔。
少年派的奇幻漂流,"
                            1939 / 美国 / 剧情 历史 爱情 战争
                        ",9.1,1270010人评价,瑰丽壮观、无人能及的冒险之旅。
鬼子来了,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...",9.3,579603人评价,对敌人的仁慈，就是对自己残忍。
猫鼠游戏,"
                            2013 / 韩国 / 剧情
                        ",9.1,920859人评价,骗子大师和执著警探的你追我跑故事。 
大话西游之月光宝盒,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...",9.0,1141998人评价,旷古烁今。
让子弹飞,"
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        ",9.0,1569836人评价,你给我翻译翻译，神马叫做TMD的惊喜。
天空之城,"
                            导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...",9.1,766995人评价,对天空的追逐，永不停止。 
钢琴家,"
                            2018 / 中国大陆 / 剧情 喜剧
                        ",9.3,570230人评价,音乐能化解仇恨。
指环王2：双塔奇兵,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...",9.2,697316人评价,承前启后的史诗篇章。
闻香识女人,"
                            2016 / 印度 / 剧情 传记 运动 家庭
                        ",9.1,814426人评价,史上最美的探戈。
